Date,NHPI,Interest,CPI,Immigrants,Earnings
2002-06,61.9,6.98,99.9,252527,670.72
2002-07,62,6.9,100.5,252527,677.13
2002-08,62.3,6.61,100.9,252527,672.56
2002-09,62.4,6.49,100.9,252527,674.26
2002-10,62.7,6.5,101.2,252527,679.68
2002-11,63.1,6.47,101.5,252527,680.67
2002-12,63.3,6.39,101.1,252527,685.58
2003-01,63.4,6.26,102,256405,680.76
2003-02,63.8,6.29,102.8,256405,687.27
2003-03,63.9,6.33,103.1,256405,682.7
2003-04,64.1,6.44,102.4,256405,686.11
2003-05,64.5,6.1,102.5,256405,685.09
2003-06,64.7,5.62,102.5,256405,691.71
2003-07,64.9,5.71,102.6,256405,691.14
2003-08,65.2,5.87,102.9,256405,694.46
2003-09,65.5,5.97,103.1,256405,697.48
2003-10,65.8,5.83,102.8,256405,697.16
2003-11,66.3,6.02,103.1,256405,700.71
2003-12,66.5,6,103.2,256405,698.74
2004-01,66.7,5.78,103.3,199170,702.22
2004-02,66.9,5.51,103.5,199170,701.78
2004-03,67.2,5.31,103.9,199170,705.45
2004-04,67.7,5.56,104.1,199170,704.43
2004-05,68.2,5.82,105,199170,710.26
2004-06,68.7,6.06,105.1,199170,706.1
2004-07,68.8,6.1,105,199170,708.99
2004-08,69.1,5.97,104.8,199170,711.69
2004-09,69.3,5.94,105,199170,710.76
2004-10,69.5,5.95,105.2,199170,712.35
2004-11,69.8,5.87,105.6,199170,717.21
2004-12,69.9,5.69,105.4,199170,719.76
2005-01,70.1,5.6,105.3,239083,725.52
2005-02,70.3,5.59,105.7,239083,731.97
2005-03,70.6,5.6,106.3,239083,725.55
2005-04,71,5.67,106.6,239083,728.92
2005-05,71.3,5.55,106.7,239083,733.28
2005-06,71.9,5.31,106.9,239083,735.74
2005-07,72,5.26,107.1,239083,736.06
2005-08,72.3,5.32,107.5,239083,741.6
2005-09,72.7,5.3,108.4,239083,749.58
2005-10,73.2,5.39,107.9,239083,745.78
2005-11,73.6,5.56,107.7,239083,745.05
2005-12,74.1,5.6,107.6,239083,744.17
2006-01,74.7,5.65,108.2,244578,745.93
2006-02,75.2,5.75,108,244578,745.79
2006-03,76,5.78,108.6,244578,748.58
2006-04,76.9,5.88,109.2,244578,750.7
2006-05,77.8,6.05,109.7,244578,751.16
2006-06,79,6.12,109.5,244578,751.96
2006-07,79.8,6.26,109.6,244578,754.66
2006-08,81,6.24,109.8,244578,759.03
2006-09,81.4,6.13,109.2,244578,756.71
2006-10,81.6,6.01,109,244578,762.36
2006-11,82,5.99,109.2,244578,761.12
2006-12,82,5.89,109.4,244578,772.69
2007-01,82.3,5.91,109.4,254374,774.05
2007-02,82.7,6,110.2,254374,771.19
2007-03,83,5.91,111.1,254374,780.87
2007-04,83.7,5.92,111.6,254374,781.57
2007-05,84.6,6.01,112.1,254374,786.15
2007-06,85.1,6.51,111.9,254374,790.91
2007-07,85.9,6.6,112,254374,791.97
2007-08,86.3,6.62,111.7,254374,789.5
2007-09,86.5,6.61,111.9,254374,790.82
2007-10,86.6,6.69,111.6,254374,794.07
2007-11,87,6.73,111.9,254374,799.65
2007-12,87.1,6.75,112,254374,798.51
2008-01,87.6,6.81,111.8,238125,798.25
2008-02,87.9,6.72,112.2,238125,803.71
2008-03,88.1,6.6,112.6,238125,805.5
2008-04,88.1,6.4,113.5,238125,809.23
2008-05,88.1,6.21,114.6,238125,808.82
2008-06,88.2,6.2,115.4,238125,809.74
2008-07,88.2,6.37,115.8,238125,811.17
2008-08,88.2,6.25,115.6,238125,811.74
2008-09,88.3,6.16,115.7,238125,813.44
2008-10,87.9,6.46,114.5,238125,818.07
2008-11,87.7,6.51,114.1,238125,818.7
2008-12,87.5,6.17,113.3,238125,813.41
2009-01,87,5.78,113,249622,815.93
2009-02,86.4,5.28,113.8,249622,818.61
2009-03,86,5.14,114,249622,820.06
2009-04,85.5,4.79,113.9,249622,817.67
2009-05,85.4,4.62,114.7,249622,818.17
2009-06,85.2,4.9,115.1,249622,821.24
2009-07,85.4,5.14,114.7,249622,822.34
2009-08,85.5,5.13,114.7,249622,821.94
2009-09,85.9,4.97,114.7,249622,827.12
2009-10,86.1,5,114.6,249622,825.41
2009-11,86.4,5.06,115.2,249622,828.18
2009-12,86.7,4.83,114.8,249622,833.11
2010-01,87.1,4.8,115.1,245289,834.37
2010-02,87.1,4.73,115.6,245289,841.55
2010-03,87.4,4.71,115.6,245289,841.99
2010-04,87.6,5.15,116,245289,845.79
2010-05,87.9,5.3,116.3,245289,847.03
2010-06,88,5.18,116.2,245289,850.35
2010-07,87.9,5.02,116.8,245289,853.51
2010-08,88,4.82,116.7,245289,858.6
2010-09,88.1,4.6,116.9,245289,864.37
2010-10,88.2,4.52,117.4,245289,860.06
2010-11,88.4,4.45,117.5,245289,863.78
2010-12,88.4,4.5,117.5,245289,866.3
2011-01,88.6,4.55,117.8,270581,872.71
2011-02,89,4.68,118.1,270581,870.82
2011-03,89,4.7,119.4,270581,870.36
2011-04,89.2,4.87,119.8,270581,870.23
2011-05,89.6,4.83,120.6,270581,871.52
2011-06,89.8,4.6,119.8,270581,870.45
2011-07,89.9,4.57,120,270581,868.93
2011-08,90,4.52,120.3,270581,872.66
2011-09,90.1,4.42,120.6,270581,872.46
2011-10,90.3,4.35,120.8,270581,881.93
2011-11,90.6,4.38,120.9,270581,880.34
2011-12,90.7,4.36,120.2,270581,881
2012-01,90.8,4.31,120.7,259110,885.03
2012-02,91,4.23,121.2,259110,881.15
2012-03,91.3,4.21,121.7,259110,887.05
2012-04,91.5,4.36,122.2,259110,889.73
2012-05,91.7,4.35,122.1,259110,890.13
2012-06,91.9,4.25,121.6,259110,893.86
2012-07,92,4.23,121.5,259110,900.62
2012-08,92.1,4.23,121.8,259110,904.35
2012-09,92.3,4.2,122,259110,902.63
2012-10,92.5,4.17,122.2,259110,903.21
2012-11,92.6,4.15,121.9,259110,904.13
2012-12,92.7,4.15,121.2,259110,903.6
2013-01,92.8,4.14,121.3,260036,900.98
2013-02,93,4.11,122.7,260036,905.53
2013-03,93,4.02,122.9,260036,903.39
2013-04,93.2,4.02,122.7,260036,904.77
2013-05,93.4,4.02,123,260036,913.07
2013-06,93.5,4,123,260036,910.51
2013-07,93.6,4.08,123.1,260036,909.77
2013-08,93.7,4.14,123.1,260036,911.63
2013-09,93.8,4.33,123.3,260036,912.83
2013-10,93.8,4.4,123,260036,916.55
2013-11,93.9,4.39,123,260036,922.99
2013-12,93.9,4.39,122.7,260036,924.26
2014-01,94.1,4.38,123.1,263101,923.43
2014-02,94.4,4.32,124.1,263101,926.67
2014-03,94.5,4.16,124.8,263101,926.91
2014-04,94.7,4.02,125.2,263101,931.58
2014-05,94.8,4.02,125.8,263101,935.88
2014-06,94.9,4,125.9,263101,936.78
2014-07,94.9,4.01,125.7,263101,942.49
2014-08,95.2,4.01,125.7,263101,940.27
2014-09,95.3,4.02,125.8,263101,940.4
2014-10,95.4,4,125.9,263101,942.06
2014-11,95.5,4,125.4,263101,938.97
2014-12,95.5,3.98,124.5,263101,939.82
2015-01,95.5,3.96,124.3,267924,948.7
2015-02,95.6,3.91,125.4,267924,949.79
2015-03,95.7,3.84,126.3,267924,951.81
2015-04,95.7,3.76,126.2,267924,954.41
2015-05,95.9,3.74,126.9,267924,948.49
2015-06,96.1,3.72,127.2,267924,953.52
2015-07,96.2,3.71,127.3,267924,957.41
2015-08,96.5,3.71,127.3,267924,945.49
2015-09,96.6,3.71,127.1,267924,954.36
2015-10,96.8,3.72,127.2,267924,955.75
2015-11,96.9,3.72,127.1,267924,951.75
2015-12,97,3.75,126.5,267924,954.75
2016-01,97.1,3.76,126.8,240763,950.09
2016-02,97.3,3.75,127.1,240763,954.36
2016-03,97.5,3.73,127.9,240763,956.01
2016-04,97.7,3.7,128.3,240763,953.26
2016-05,98.5,3.67,128.8,240763,954.76
2016-06,98.6,3.66,129.1,240763,956.98
2016-07,99,3.67,128.9,240763,957.18
2016-08,99.1,3.68,128.7,240763,959.01
2016-09,99.3,3.67,128.8,240763,955.83
2016-10,99.7,3.68,129.1,240763,955.14
2016-11,99.9,3.7,128.6,240763,960.17
2016-12,100,3.74,128.4,240763,968.31
2017-01,100.1,3.73,129.5,323192,967.3
2017-02,100.5,3.75,129.7,323192,964.65
2017-03,100.7,3.66,129.9,323192,967.16
2017-04,101.5,3.62,130.4,323192,971.26
2017-05,102.2,3.59,130.5,323192,970.23
2017-06,102.4,3.6,130.4,323192,972.17
2017-07,102.8,3.72,130.4,323192,970.05
2017-08,102.9,3.82,130.5,323192,977.11
2017-09,103.1,3.89,130.8,323192,986.15
2017-10,103.2,3.98,130.9,323192,983.5
2017-11,103.3,4.04,131.3,323192,990.98
2017-12,103.3,4.07,130.8,323192,991.91
2018-01,103.3,4.14,131.7,272707,992.29
2018-02,103.1,4.26,132.5,272707,999.46
2018-03,103.1,4.27,132.9,272707,998.21
2018-04,103.1,4.27,133.3,272707,993.72
2018-05,103.1,4.35,133.4,272707,994.76
2018-06,103.2,4.32,133.6,272707,1001.55
2018-07,103.3,4.42,134.3,272707,999.97
2018-08,103.3,4.43,134.2,272707,1005.87
2018-09,103.3,4.43,133.7,272707,1000.92
2018-10,103.3,4.48,134.1,272707,1007.33
2018-11,103.3,4.38,133.5,272707,1011.16
2018-12,103.3,4.59,133.4,272707,1008.98
2019-01,103.2,4.59,133.6,303325,1010.83
2019-02,103.2,4.52,134.5,303325,1009.9
2019-03,103.2,4.44,135.4,303325,1015.7
2019-04,103.2,4.33,136,303325,1017.89
2019-05,103.1,4.3,136.6,303325,1030.31
2019-06,103,4.23,136.3,303325,1020.99
2019-07,102.9,4.14,137,303325,1028.28
2019-08,103,4.08,136.8,303325,1032.06
2019-09,103.2,4.07,136.2,303325,1039.07
2019-10,103.3,4.09,136.6,303325,1045.99
2019-11,103.2,4.09,136.4,303325,1042.38
2019-12,103.4,4.08,136.4,303325,1044.32
2020-01,103.4,4.08,136.8,313601,1048.77
2020-02,103.8,4.08,137.4,313601,1045.89
2020-03,104.1,3.9,136.6,313601,1048.22
2020-04,104.1,3.95,135.7,313601,1114.22
2020-05,104.2,3.86,136.1,313601,1134.98
2020-06,104.3,3.77,137.2,313601,1114.69
2020-07,104.7,3.64,137.2,313601,1113.3
2020-08,105.2,3.57,137,313601,1109.44
2020-09,106.5,3.51,136.9,313601,1108.2
2020-10,107.3,3.45,137.5,313601,1107.3
2020-11,107.9,3.42,137.7,313601,1112.33
2020-12,108.2,3.34,137.4,313601,1115.49
2021-01,109,3.3,138.2,284157,1133.5
2021-02,111.1,3.25,138.9,284157,1134.58
2021-03,112.3,3.26,139.6,284157,1121.19
2021-04,114.4,3.25,140.3,284157,1125.22
2021-05,116,3.25,141,284157,1131.08
2021-06,116.7,3.26,141.4,284157,1119.65
2021-07,117.2,3.2,142.3,284157,1130.6
2021-08,118,3.2,142.6,284157,1133.85
2021-09,118.5,3.22,142.9,284157,1135.92
2021-10,119.6,3.29,143.9,284157,1133.31
2021-11,120.5,3.4,144.2,284157,1132.66
2021-12,120.8,3.45,144,284157,1135.4
2022-01,121.9,3.44,145.3,226203,1156.85
2022-02,123.2,3.58,146.8,226203,1158.81
2022-03,124.7,3.77,148.9,226203,1167.74
2022-04,125.1,4.19,149.8,226203,1160.84
2022-05,125.7,4.63,151.9,226203,1159.85
